Order Number,Sales Date,Sales Channel,Currency,Salesteamindex,Storeindex,Productindex,Order qty,unit price,unit cost
SO5371,1/10/2020,Distributor,USD,17,340,29,4,490.48,350.35
SO5372,2/7/2020,Wholesale,USD,14,325,16,10,185.12,132.23
SO5373,1/1/2020,Wholesale,USD,5,136,26,6,384.41,274.58
SO5374,4/21/2020,In-Store,USD,6,285,33,3,402.62,287.58
SO5375,4/18/2020,Wholesale,USD,11,59,4,4,597.73,426.95
SO5376,4/12/2020,Wholesale,USD,3,237,43,4,484.37,345.98
SO5377,4/28/2020,Wholesale,USD,26,353,5,9,253.94,181.39
SO5378,3/9/2020,Distributor,USD,15,230,20,8,621.43,443.88
SO5379,4/4/2020,Wholesale,USD,3,363,44,6,584.30,417.36
SO5380,1/3/2020,Wholesale,USD,3,102,26,10,223.89,159.92
SO5381,5/6/2020,Wholesale,USD,23,353,47,9,559.96,399.97
SO5382,2/16/2020,Online,USD,5,71,30,8,252.94,180.67
SO5383,2/16/2020,Distributor,USD,18,308,47,3,166.33,118.81
SO5384,3/14/2020,Distributor,USD,14,116,22,5,161.32,115.23
SO5385,1/15/2020,Wholesale,USD,21,119,7,7,313.33,223.81
SO5386,4/28/2020,Wholesale,USD,14,339,36,8,417.10,297.93
SO5387,2/24/2020,Distributor,USD,20,160,5,4,524.32,374.51
SO5388,1/22/2020,Online,USD,3,148,3,2,168.26,120.19
SO5389,5/21/2020,Distributor,USD,18,252,41,2,181.06,129.33
SO5390,1/13/2020,Online,USD,24,82,13,4,271.43,193.88
SO5391,2/5/2020,Distributor,USD,14,230,36,1,208.98,149.27
SO5392,3/4/2020,Distributor,USD,8,294,26,1,490.61,350.43
SO5393,4/2/2020,Wholesale,USD,3,300,8,6,208.33,148.81
SO5394,4/25/2020,In-Store,USD,4,35,21,10,338.00,241.43
SO5395,2/23/2020,Wholesale,USD,18,172,19,1,190.42,136.01
SO5396,5/16/2020,Wholesale,USD,16,61,28,10,629.09,449.35
SO5397,5/26/2020,Wholesale,USD,21,119,25,3,170.71,121.94
SO5398,3/31/2020,Distributor,USD,8,12,4,8,444.62,317.58
SO5399,3/1/2020,Wholesale,USD,24,199,23,9,515.52,368.23
SO5400,2/15/2020,Wholesale,USD,1,201,20,2,349.14,249.39
SO5401,2/26/2020,Distributor,USD,15,222,41,8,552.72,394.80
SO5402,4/27/2020,Online,USD,2,56,38,9,296.30,211.64
SO5403,5/21/2020,Wholesale,USD,8,201,16,4,597.57,426.83
SO5404,4/27/2020,In-Store,USD,25,248,3,1,314.97,224.98
SO5405,5/25/2020,Distributor,USD,20,17,33,7,645.59,461.13
SO5406,2/3/2020,In-Store,USD,26,221,17,6,171.95,122.82
SO5407,1/31/2020,Distributor,USD,9,43,36,4,633.15,452.25
SO5408,3/2/2020,Distributor,USD,22,167,38,5,343.86,245.61
SO5409,1/8/2020,Wholesale,USD,12,179,30,3,277.23,198.02
SO5410,2/13/2020,Wholesale,USD,4,68,13,2,243.33,173.80
SO5411,2/1/2020,Distributor,USD,21,331,11,5,639.31,456.65
SO5412,5/25/2020,Online,USD,2,275,4,1,290.77,207.69
SO5413,5/10/2020,In-Store,USD,5,335,1,4,164.58,117.56
SO5414,4/6/2020,Wholesale,USD,26,94,35,7,520.25,371.60
SO5415,1/11/2020,In-Store,USD,7,331,9,3,617.90,441.36
SO5416,5/24/2020,Online,USD,20,138,17,3,557.18,397.99
SO5417,3/12/2020,Online,USD,2,151,45,1,387.04,276.46
SO5418,2/23/2020,In-Store,USD,17,317,38,3,420.04,300.03
SO5419,3/24/2020,Online,USD,15,11,30,10,344.27,245.91
SO5420,5/8/2020,Online,USD,5,146,24,6,220.13,157.24
SO5421,5/31/2020,Wholesale,USD,23,138,23,1,488.29,348.78
SO5422,2/26/2020,Distributor,USD,4,50,32,1,466.23,333.02
SO5423,5/22/2020,Distributor,USD,18,352,43,7,283.11,202.22
SO5424,4/4/2020,In-Store,USD,7,225,10,6,296.58,211.84
SO5425,1/14/2020,Online,USD,12,352,47,10,204.28,145.92
SO5426,1/13/2020,In-Store,USD,2,341,21,4,605.53,432.52
SO5427,1/14/2020,Online,USD,22,69,40,5,625.64,446.89
SO5428,3/19/2020,In-Store,USD,7,126,40,8,619.95,442.82
SO5429,3/29/2020,Wholesale,USD,16,285,47,2,316.51,226.08
SO5430,2/10/2020,Online,USD,16,262,45,6,153.01,109.29
SO5431,4/27/2020,Distributor,USD,18,137,2,9,451.96,322.83
SO5432,1/9/2020,Distributor,USD,22,157,20,3,349.02,249.30
SO5433,3/17/2020,Distributor,USD,22,315,2,8,624.54,446.10
SO5434,1/28/2020,In-Store,USD,11,261,41,7,367.55,262.53
SO5435,2/4/2020,Wholesale,USD,2,332,22,4,525.70,375.50
SO5436,2/13/2020,Online,USD,9,186,40,4,605.90,432.79
SO5437,2/5/2020,Wholesale,USD,16,312,41,6,548.75,391.96
SO5438,1/1/2020,In-Store,USD,9,108,9,3,639.57,456.84
SO5439,1/6/2020,Distributor,USD,19,270,12,5,201.95,144.25
SO5440,2/20/2020,In-Store,USD,9,194,24,8,225.48,161.06
SO5441,5/26/2020,In-Store,USD,25,174,47,10,359.36,256.68
SO5442,3/6/2020,Wholesale,USD,20,225,36,10,314.97,224.98
SO5443,1/21/2020,Wholesale,USD,12,172,40,3,472.32,337.37
SO5444,1/22/2020,In-Store,USD,7,190,44,6,647.91,462.79
SO5445,3/6/2020,Wholesale,USD,24,80,14,1,526.70,376.21
SO5446,3/30/2020,Wholesale,USD,18,185,15,4,644.32,460.23
SO5447,2/2/2020,In-Store,USD,10,244,12,3,622.41,444.58
SO5448,3/16/2020,Distributor,USD,16,214,45,3,415.47,296.77
SO5449,5/8/2020,In-Store,USD,20,114,46,2,194.72,139.09
SO5450,1/27/2020,Wholesale,USD,21,225,21,1,344.32,245.95
SO5451,2/6/2020,Wholesale,USD,14,161,30,8,525.41,375.29
SO5452,2/14/2020,Wholesale,USD,2,73,37,8,315.67,225.48
SO5453,1/13/2020,Online,USD,25,329,39,7,288.77,206.27
SO5454,5/8/2020,Distributor,USD,22,294,5,10,302.53,216.09
SO5455,2/18/2020,Wholesale,USD,19,103,9,6,556.01,397.15
SO5456,1/6/2020,Online,USD,1,259,32,5,633.52,452.51
SO5457,1/26/2020,In-Store,USD,22,189,31,7,235.59,168.28
SO5458,5/10/2020,Wholesale,USD,7,283,12,5,391.27,279.48
SO5459,4/23/2020,In-Store,USD,15,50,8,3,627.50,448.22
SO5460,4/7/2020,Distributor,USD,11,31,33,3,533.15,380.82
SO5461,5/25/2020,Online,USD,3,290,45,5,319.58,228.27
SO5462,5/23/2020,In-Store,USD,5,356,31,6,414.87,296.33
SO5463,2/24/2020,In-Store,USD,22,269,13,6,356.23,254.45
SO5464,3/2/2020,Online,USD,20,356,28,2,570.64,407.60
SO5465,1/15/2020,Online,USD,24,139,42,9,156.34,111.67
SO5466,3/14/2020,In-Store,USD,12,266,7,5,180.10,128.64
SO5467,1/17/2020,Distributor,USD,1,56,6,7,353.18,252.27
SO5468,2/15/2020,Wholesale,USD,8,334,11,3,322.08,230.06
SO5469,2/4/2020,Wholesale,USD,2,70,24,9,297.43,212.45
SO5470,5/12/2020,Wholesale,USD,2,230,43,2,192.90,137.78
SO5471,5/12/2020,Online,USD,8,248,11,1,634.89,453.49
SO5472,3/15/2020,In-Store,USD,15,329,1,5,645.90,461.36
SO5473,3/6/2020,Distributor,USD,11,303,8,8,453.35,323.82
SO5474,1/24/2020,Distributor,USD,21,69,9,6,476.28,340.20
SO5475,3/25/2020,In-Store,USD,7,308,44,2,161.60,115.43
SO5476,1/14/2020,Distributor,USD,7,42,31,10,559.45,399.61
SO5477,5/24/2020,Wholesale,USD,13,106,12,3,346.84,247.74
SO5478,5/22/2020,In-Store,USD,3,262,6,6,515.57,368.26
SO5479,3/3/2020,Distributor,USD,19,288,38,10,508.64,363.31
SO5480,1/24/2020,Distributor,USD,4,354,11,5,252.85,180.61
SO5481,1/19/2020,Distributor,USD,20,341,6,7,190.40,136.00
SO5482,3/21/2020,Distributor,USD,7,167,45,5,330.87,236.34
SO5483,3/31/2020,Online,USD,22,300,12,8,645.03,460.74
SO5484,1/2/2020,Distributor,USD,6,123,20,5,220.03,157.16
SO5485,3/30/2020,Online,USD,10,241,15,3,287.03,205.02
SO5486,2/15/2020,Online,USD,20,366,16,1,171.73,122.66
SO5487,1/5/2020,Distributor,USD,6,92,12,4,354.44,253.17
SO5488,4/16/2020,In-Store,USD,14,39,47,8,515.08,367.91
SO5489,4/24/2020,Wholesale,USD,3,144,2,5,255.27,182.33
SO5490,2/23/2020,Online,USD,24,330,6,4,337.11,240.79
SO5491,3/12/2020,In-Store,USD,1,173,26,9,274.29,195.92
SO5492,4/30/2020,Online,USD,17,338,32,9,634.83,453.45
SO5493,3/13/2020,Online,USD,17,281,36,6,383.43,273.88
SO5494,3/4/2020,In-Store,USD,22,213,1,4,619.61,442.58
SO5495,5/4/2020,Distributor,USD,26,102,40,9,557.11,397.94
SO5496,2/28/2020,Online,USD,22,74,47,8,528.68,377.63
SO5497,1/7/2020,Online,USD,21,26,14,9,604.16,431.54
SO5498,5/25/2020,Online,USD,11,172,45,7,375.87,268.48
SO5499,4/19/2020,Distributor,USD,11,165,24,3,158.27,113.05
SO5500,2/24/2020,Distributor,USD,8,153,36,4,230.66,164.76
SO5501,2/23/2020,Wholesale,USD,15,173,46,10,596.16,425.83
SO5502,4/1/2020,In-Store,USD,24,142,17,1,225.33,160.95
SO5503,2/27/2020,Distributor,USD,17,216,16,1,256.77,183.41
SO5504,5/19/2020,Wholesale,USD,16,216,19,6,618.77,441.98
SO5505,2/25/2020,In-Store,USD,19,166,47,8,512.23,365.88
SO5506,4/23/2020,Online,USD,12,70,39,1,367.14,262.24
SO5507,4/6/2020,In-Store,USD,11,64,30,5,286.45,204.61
SO5508,2/20/2020,In-Store,USD,16,26,37,8,291.56,208.26
SO5509,5/6/2020,In-Store,USD,10,192,13,5,329.54,235.38
SO5510,3/13/2020,In-Store,USD,25,246,45,1,525.40,375.29
SO5511,2/16/2020,In-Store,USD,24,337,26,10,605.37,432.41
SO5512,5/26/2020,In-Store,USD,8,204,13,10,585.97,418.55
SO5513,2/3/2020,Distributor,USD,25,63,14,8,327.11,233.65
SO5514,4/15/2020,In-Store,USD,8,247,29,9,520.58,371.84
SO5515,4/25/2020,In-Store,USD,15,119,31,3,280.41,200.29
SO5516,3/22/2020,Online,USD,6,126,45,1,199.37,142.40
SO5517,5/21/2020,Online,USD,15,23,17,4,185.61,132.58
SO5518,3/17/2020,Distributor,USD,19,188,9,1,465.24,332.31
SO5519,4/22/2020,Wholesale,USD,24,191,38,9,508.21,363.00
SO5520,4/7/2020,Distributor,USD,22,311,9,4,457.92,327.09
SO5521,4/24/2020,Distributor,USD,6,182,2,3,216.36,154.54
SO5522,5/10/2020,Online,USD,10,219,16,4,583.97,417.12
SO5523,3/6/2020,Wholesale,USD,9,127,5,3,646.27,461.62
SO5524,3/18/2020,Online,USD,13,141,14,3,189.16,135.11
SO5525,3/26/2020,Wholesale,USD,18,42,40,8,210.60,150.43
SO5526,3/11/2020,Online,USD,9,120,37,10,156.63,111.88
SO5527,5/3/2020,Online,USD,23,244,19,3,381.39,272.42
SO5528,1/5/2020,Online,USD,4,59,31,2,238.79,170.56
SO5529,2/9/2020,In-Store,USD,9,309,10,9,418.01,298.58
SO5530,5/14/2020,Online,USD,16,84,26,4,594.75,424.82
SO5531,2/4/2020,Wholesale,USD,9,350,35,4,520.25,371.61
SO5532,5/30/2020,Wholesale,USD,24,204,45,2,597.79,427.00
SO5533,1/2/2020,Distributor,USD,14,37,33,2,646.46,461.76
SO5534,5/27/2020,Wholesale,USD,18,129,14,8,627.27,448.05
SO5535,1/30/2020,In-Store,USD,14,48,11,10,398.36,284.54
SO5536,4/6/2020,Distributor,USD,13,234,31,1,159.75,114.10
SO5537,4/10/2020,Online,USD,22,96,20,7,489.04,349.32
SO5538,3/14/2020,Distributor,USD,1,332,44,9,629.48,449.63
SO5539,3/18/2020,Distributor,USD,26,231,5,1,424.15,302.96
SO5540,3/2/2020,Distributor,USD,21,338,38,5,611.39,436.71
SO5541,3/12/2020,In-Store,USD,23,123,37,1,177.32,126.66
SO5542,5/28/2020,Distributor,USD,1,56,28,7,564.22,403.02
SO5543,3/25/2020,Online,USD,16,265,6,10,239.39,170.99
SO5544,5/24/2020,In-Store,USD,6,142,3,8,428.48,306.06
SO5545,1/5/2020,Wholesale,USD,8,347,20,1,557.87,398.48
SO5546,5/24/2020,Wholesale,USD,6,200,34,5,553.36,395.26
SO5547,5/16/2020,Online,USD,25,42,1,4,511.83,365.59
SO5548,3/2/2020,In-Store,USD,16,275,44,2,519.84,371.31
SO5549,3/18/2020,Distributor,USD,23,190,18,4,188.03,134.31
SO5550,2/6/2020,In-Store,USD,13,46,19,7,572.46,408.90
SO5551,1/14/2020,Wholesale,USD,10,276,21,6,344.07,245.77
SO5552,5/16/2020,In-Store,USD,1,353,13,5,477.70,341.21
SO5553,1/12/2020,Online,USD,1,269,28,1,572.90,409.21
SO5554,4/9/2020,Distributor,USD,24,54,9,8,270.76,193.40
SO5555,4/27/2020,Online,USD,19,337,2,7,318.74,227.67
SO5556,2/19/2020,Distributor,USD,11,1,6,8,464.28,331.63
SO5557,4/2/2020,Distributor,USD,14,88,29,6,505.63,361.17
SO5558,5/10/2020,Wholesale,USD,12,364,36,1,419.35,299.54
SO5559,5/30/2020,In-Store,USD,2,202,30,5,157.84,112.74
SO5560,2/25/2020,Distributor,USD,17,320,29,4,217.62,155.44
SO5561,4/8/2020,Wholesale,USD,12,219,24,6,552.95,394.96
SO5562,3/23/2020,In-Store,USD,9,104,11,10,476.66,340.47
SO5563,4/29/2020,Distributor,USD,26,301,47,2,515.42,368.16
SO5564,4/19/2020,Wholesale,USD,18,316,16,2,186.64,133.32
SO5565,4/3/2020,Distributor,USD,8,178,4,10,150.88,107.77
SO5566,4/27/2020,Wholesale,USD,5,112,24,1,287.13,205.09
SO5567,5/30/2020,Online,USD,13,353,26,5,386.45,276.03
SO5568,4/13/2020,Wholesale,USD,6,28,39,10,286.49,204.63
SO5569,2/5/2020,Distributor,USD,16,56,16,6,336.81,240.58
SO5570,4/8/2020,Online,USD,22,224,39,3,402.19,287.28
SO5571,2/23/2020,In-Store,USD,5,132,24,4,151.96,108.55
SO5572,5/7/2020,Distributor,USD,11,72,14,8,282.10,201.50
SO5573,2/12/2020,Distributor,USD,13,47,8,5,594.73,424.80
SO5574,2/3/2020,Wholesale,USD,5,346,40,2,522.44,373.17
SO5575,5/5/2020,Wholesale,USD,12,313,8,6,240.47,171.76
SO5576,1/22/2020,Wholesale,USD,22,180,32,9,297.05,212.18
SO5577,3/12/2020,In-Store,USD,18,58,18,7,334.73,239.09
SO5578,3/29/2020,Online,USD,8,130,25,6,570.12,407.23
SO5579,1/25/2020,Wholesale,USD,4,126,22,2,415.56,296.83
SO5580,1/21/2020,Wholesale,USD,23,31,41,3,445.60,318.29
SO5581,4/22/2020,Distributor,USD,20,158,35,6,497.83,355.59
SO5582,2/14/2020,Distributor,USD,23,225,37,7,383.81,274.15
SO5583,4/22/2020,Wholesale,USD,8,219,42,3,190.83,136.30
SO5584,3/15/2020,Online,USD,2,177,15,1,590.07,421.48
SO5585,4/5/2020,In-Store,USD,13,3,28,7,275.91,197.08
SO5586,1/3/2020,Distributor,USD,21,304,44,9,540.37,385.98
SO5587,4/9/2020,Wholesale,USD,8,126,22,3,371.98,265.70
SO5588,4/26/2020,Online,USD,1,115,31,1,223.36,159.54
SO5589,1/5/2020,Distributor,USD,19,202,23,4,470.04,335.75
SO5590,3/1/2020,In-Store,USD,1,130,33,4,296.16,211.55
SO5591,1/2/2020,Distributor,USD,7,217,8,2,215.25,153.75
SO5592,3/4/2020,Wholesale,USD,11,136,41,5,480.84,343.45
SO5593,1/18/2020,In-Store,USD,2,89,5,1,460.99,329.28
SO5594,2/2/2020,Online,USD,22,337,13,7,162.49,116.07
SO5595,3/24/2020,Wholesale,USD,13,74,20,8,222.04,158.60
SO5596,1/14/2020,Wholesale,USD,3,317,22,9,265.36,189.54
SO5597,3/26/2020,Wholesale,USD,9,11,25,8,314.94,224.96
SO5598,4/27/2020,Distributor,USD,4,9,35,6,598.31,427.37
SO5599,3/4/2020,In-Store,USD,7,271,47,2,549.81,392.72
SO5600,1/13/2020,In-Store,USD,22,342,45,5,513.65,366.89
SO5601,5/30/2020,Distributor,USD,25,14,30,2,509.57,363.98
SO5602,3/21/2020,In-Store,USD,3,216,37,5,327.18,233.70
SO5603,2/18/2020,Online,USD,5,191,1,3,550.19,392.99
SO5604,1/26/2020,In-Store,USD,24,155,36,10,571.84,408.46
SO5605,4/10/2020,Distributor,USD,15,112,41,1,282.28,201.63
SO5606,5/30/2020,In-Store,USD,3,302,21,3,290.45,207.47
SO5607,4/25/2020,Distributor,USD,5,355,17,5,436.40,311.71
SO5608,3/28/2020,Online,USD,6,328,5,4,207.32,148.09
SO5609,3/8/2020,Distributor,USD,26,262,4,5,612.71,437.65
SO5610,5/11/2020,Wholesale,USD,22,141,17,5,210.76,150.54
SO5611,4/17/2020,Wholesale,USD,7,62,8,9,570.90,407.78
SO5612,2/10/2020,In-Store,USD,15,325,14,9,242.81,173.44
SO5613,1/3/2020,Distributor,USD,15,76,41,5,316.53,226.09
SO5614,3/8/2020,Wholesale,USD,17,280,5,10,290.68,207.63
SO5615,2/24/2020,Distributor,USD,9,263,35,6,377.25,269.46
SO5616,3/10/2020,Online,USD,26,159,14,2,309.69,221.20
SO5617,2/16/2020,Online,USD,13,85,45,1,280.42,200.30
SO5618,2/4/2020,Wholesale,USD,8,339,42,10,531.72,379.80
SO5619,2/5/2020,In-Store,USD,6,287,27,3,383.26,273.75
SO5620,2/25/2020,Online,USD,22,309,21,7,233.55,166.82
SO5621,2/3/2020,Distributor,USD,15,165,40,7,307.37,219.55
SO5622,5/9/2020,In-Store,USD,21,72,19,7,178.48,127.49
SO5623,3/21/2020,Distributor,USD,3,162,32,10,381.40,272.43
SO5624,2/5/2020,Distributor,USD,12,252,23,4,543.09,387.92
SO5625,3/26/2020,Wholesale,USD,2,252,43,1,596.16,425.83
SO5626,1/29/2020,Wholesale,USD,11,151,45,8,294.17,210.12
SO5627,4/11/2020,Distributor,USD,26,95,9,4,219.41,156.72
SO5628,4/4/2020,Wholesale,USD,19,34,39,10,599.10,427.93
SO5629,2/10/2020,Wholesale,USD,2,51,21,9,340.17,242.98
SO5630,4/26/2020,In-Store,USD,10,109,39,3,449.23,320.88
SO5631,1/21/2020,Wholesale,USD,13,41,9,9,215.23,153.74
SO5632,5/12/2020,Online,USD,10,88,4,4,355.89,254.21
SO5633,5/5/2020,Online,USD,22,302,12,6,459.35,328.11
SO5634,3/1/2020,In-Store,USD,5,44,4,8,545.36,389.54
SO5635,3/25/2020,In-Store,USD,3,99,36,2,194.10,138.64
SO5636,5/19/2020,Online,USD,23,50,36,8,243.77,174.12
SO5637,1/4/2020,Wholesale,USD,14,102,12,3,445.51,318.22
SO5638,1/11/2020,Distributor,USD,17,210,10,8,259.68,185.48
SO5639,1/4/2020,Distributor,USD,9,264,16,4,153.96,109.97
SO5640,2/12/2020,Distributor,USD,12,231,19,3,174.96,124.97
SO5641,5/9/2020,Online,USD,4,192,21,3,342.84,244.89
SO5642,1/14/2020,In-Store,USD,2,334,21,5,618.19,441.57
SO5643,4/15/2020,Wholesale,USD,12,274,13,7,555.12,396.51
SO5644,2/20/2020,Wholesale,USD,6,248,36,5,177.63,126.88
SO5645,4/23/2020,Online,USD,20,93,9,5,348.67,249.05
SO5646,3/12/2020,Wholesale,USD,15,129,7,3,183.49,131.07
SO5647,3/29/2020,In-Store,USD,4,280,32,10,230.11,164.37
SO5648,5/5/2020,In-Store,USD,23,313,14,8,153.21,109.44
SO5649,1/5/2020,In-Store,USD,25,112,26,1,539.47,385.34
SO5650,3/28/2020,Online,USD,19,262,16,4,385.71,275.51
SO5651,4/11/2020,Distributor,USD,18,141,23,7,430.86,307.76
SO5652,4/8/2020,In-Store,USD,9,45,1,1,260.01,185.72
SO5653,4/1/2020,Wholesale,USD,13,127,5,7,221.14,157.96
SO5654,1/1/2020,Online,USD,14,109,31,9,457.71,326.94
SO5655,2/1/2020,Online,USD,8,278,37,6,484.06,345.76
SO5656,5/6/2020,Online,USD,22,313,23,3,420.03,300.02
SO5657,5/17/2020,In-Store,USD,9,306,38,7,410.51,293.22
SO5658,4/21/2020,Online,USD,10,15,26,7,511.58,365.41
SO5659,2/17/2020,Online,USD,18,54,20,2,585.80,418.43
SO5660,5/8/2020,Online,USD,2,30,47,9,452.03,322.88
SO5661,1/20/2020,Online,USD,22,82,12,8,430.11,307.22
SO5662,3/21/2020,In-Store,USD,18,330,25,9,231.28,165.20
SO5663,4/30/2020,Distributor,USD,21,273,37,1,212.49,151.78
SO5664,1/12/2020,In-Store,USD,22,10,10,9,329.86,235.61
SO5665,4/9/2020,Wholesale,USD,2,151,4,5,640.18,457.27
SO5666,3/23/2020,Distributor,USD,8,179,46,5,195.63,139.74
SO5667,2/3/2020,Online,USD,3,281,42,2,163.97,117.12
SO5668,4/4/2020,In-Store,USD,22,318,38,7,566.05,404.32
SO5669,4/26/2020,Distributor,USD,20,165,35,6,285.96,204.25
SO5670,2/6/2020,Wholesale,USD,14,357,42,6,320.52,228.94
SO5671,2/11/2020,Online,USD,18,281,36,8,222.93,159.23
SO5672,2/13/2020,Distributor,USD,13,269,29,7,215.63,154.02
SO5673,4/1/2020,Wholesale,USD,1,178,18,1,480.16,342.97
SO5674,3/21/2020,In-Store,USD,8,80,6,8,430.32,307.37
SO5675,2/12/2020,Distributor,USD,24,85,44,7,446.50,318.93
SO5676,5/10/2020,Online,USD,10,365,36,7,516.20,368.72
SO5677,2/22/2020,In-Store,USD,19,358,4,10,296.79,211.99
SO5678,1/25/2020,In-Store,USD,11,60,33,3,453.64,324.03
SO5679,1/14/2020,Online,USD,10,144,17,4,579.21,413.72
SO5680,4/5/2020,Wholesale,USD,19,282,15,9,637.29,455.21
SO5681,4/15/2020,Distributor,USD,19,50,16,7,505.09,360.78
SO5682,2/20/2020,Distributor,USD,9,175,25,3,243.24,173.74
SO5683,1/18/2020,Distributor,USD,21,113,18,7,593.08,423.63
SO5684,1/24/2020,Wholesale,USD,3,251,43,9,568.90,406.35
SO5685,3/27/2020,Distributor,USD,24,236,32,10,414.89,296.35
SO5686,4/6/2020,In-Store,USD,1,163,11,7,523.26,373.76
SO5687,4/14/2020,Wholesale,USD,11,73,9,6,351.03,250.73
SO5688,2/8/2020,Distributor,USD,14,329,42,1,628.33,448.81
SO5689,1/7/2020,Wholesale,USD,22,217,35,7,358.06,255.76
SO5690,1/22/2020,Wholesale,USD,25,35,16,5,454.64,324.75
SO5691,4/4/2020,In-Store,USD,18,8,15,3,397.50,283.93
SO5692,2/16/2020,Online,USD,17,132,23,1,591.29,422.35
SO5693,3/26/2020,Online,USD,2,252,16,10,287.28,205.20
SO5694,5/7/2020,Online,USD,21,226,29,1,335.87,239.91
SO5695,1/8/2020,Distributor,USD,23,105,22,6,369.37,263.84
SO5696,4/22/2020,In-Store,USD,8,121,18,10,451.22,322.30
SO5697,2/28/2020,Distributor,USD,17,262,2,10,504.09,360.07
SO5698,2/5/2020,Distributor,USD,19,356,36,9,420.90,300.65
SO5699,3/14/2020,Wholesale,USD,9,59,28,3,538.10,384.36
SO5700,5/3/2020,Distributor,USD,8,53,20,2,301.83,215.59
SO5701,2/17/2020,In-Store,USD,19,83,35,2,508.15,362.96
SO5702,2/12/2020,Distributor,USD,15,296,14,3,363.37,259.55
SO5703,1/24/2020,Wholesale,USD,21,281,14,6,471.08,336.49
SO5704,4/4/2020,Online,USD,10,84,34,4,344.97,246.41
SO5705,4/1/2020,In-Store,USD,16,188,36,8,476.70,340.50
SO5706,3/12/2020,Wholesale,USD,21,215,29,7,289.05,206.46
SO5707,4/3/2020,Distributor,USD,20,287,16,1,323.33,230.95
SO5708,2/27/2020,Wholesale,USD,15,135,41,1,522.69,373.35
SO5709,2/2/2020,In-Store,USD,22,286,45,3,364.40,260.29
SO5710,2/13/2020,Distributor,USD,26,359,25,9,490.53,350.38
SO5711,3/19/2020,Distributor,USD,18,96,20,4,250.32,178.80
SO5712,5/16/2020,Distributor,USD,15,78,19,7,274.59,196.14
SO5713,2/2/2020,Distributor,USD,21,232,8,8,631.31,450.94
SO5714,4/29/2020,Wholesale,USD,12,184,36,10,245.23,175.16
SO5715,4/19/2020,In-Store,USD,19,261,20,5,447.19,319.42
SO5716,3/3/2020,Online,USD,18,22,31,5,424.36,303.11
SO5717,3/22/2020,Distributor,USD,7,276,46,8,591.15,422.25
SO5718,3/20/2020,Distributor,USD,2,151,43,9,265.53,189.66
SO5719,4/7/2020,Distributor,USD,5,154,25,7,311.07,222.19
SO5720,3/20/2020,In-Store,USD,17,314,35,9,181.63,129.73
SO5721,5/14/2020,Wholesale,USD,12,316,28,10,391.84,279.88
SO5722,4/14/2020,Distributor,USD,13,312,29,6,264.26,188.76
SO5723,4/26/2020,In-Store,USD,5,14,47,8,233.77,166.98
SO5724,3/19/2020,Wholesale,USD,1,169,39,2,281.05,200.75
SO5725,5/26/2020,Online,USD,5,343,6,7,616.22,440.16
SO5726,3/13/2020,Wholesale,USD,14,82,42,8,152.42,108.87
SO5727,3/26/2020,Wholesale,USD,10,147,40,9,513.65,366.90
SO5728,5/13/2020,Wholesale,USD,21,64,29,7,234.62,167.59
SO5729,5/20/2020,Wholesale,USD,11,232,47,10,505.12,360.80
SO5730,4/26/2020,In-Store,USD,21,313,35,3,360.08,257.20
SO5731,3/14/2020,Online,USD,26,224,47,9,392.76,280.54
SO5732,1/3/2020,In-Store,USD,21,184,7,8,218.26,155.90
SO5733,1/9/2020,Wholesale,USD,21,6,31,7,313.61,224.01
SO5734,5/27/2020,Wholesale,USD,15,314,9,9,278.65,199.04
SO5735,2/21/2020,In-Store,USD,9,137,29,2,225.21,160.87
SO5736,2/19/2020,In-Store,USD,5,56,38,7,578.64,413.32
SO5737,4/25/2020,In-Store,USD,19,186,26,3,285.48,203.91
SO5738,1/30/2020,Online,USD,23,110,12,5,335.28,239.49
SO5739,5/10/2020,Wholesale,USD,6,203,28,10,263.88,188.48
SO5740,3/4/2020,Distributor,USD,8,120,27,1,463.26,330.90
SO5741,4/24/2020,Wholesale,USD,15,27,11,10,254.05,181.46
SO5742,4/6/2020,Wholesale,USD,3,212,20,9,184.58,131.84
SO5743,3/21/2020,In-Store,USD,20,11,26,5,574.22,410.16
SO5744,4/11/2020,Online,USD,12,80,26,10,583.77,416.98
SO5745,3/15/2020,Wholesale,USD,1,256,47,3,370.16,264.40
SO5746,2/2/2020,In-Store,USD,8,22,14,8,532.58,380.41
SO5747,4/9/2020,In-Store,USD,16,276,35,3,572.47,408.90
SO5748,5/24/2020,In-Store,USD,14,287,36,5,593.56,423.97
SO5749,5/17/2020,In-Store,USD,24,27,18,7,452.45,323.18
SO5750,3/10/2020,Wholesale,USD,11,362,23,2,576.93,412.09
SO5751,4/18/2020,Online,USD,6,28,22,6,191.98,137.13
SO5752,4/11/2020,Wholesale,USD,4,277,3,6,598.59,427.57
SO5753,2/21/2020,In-Store,USD,2,204,12,6,464.88,332.06
SO5754,4/9/2020,In-Store,USD,5,216,32,2,582.34,415.96
SO5755,5/17/2020,Online,USD,9,130,31,9,172.92,123.51
SO5756,1/4/2020,Distributor,USD,20,335,26,7,288.46,206.04
SO5757,4/23/2020,Wholesale,USD,16,137,47,4,618.45,441.75
SO5758,2/5/2020,Wholesale,USD,17,187,5,7,573.32,409.51
